last_name,first_name,email,teacher_code,faculty,department,address,phone,note
Vo Que,Quy,Diana_Ruiz@hcmut.edu.vn,1940046,UI-UX,GEOPET,Cau Giay Ha Noi Viet Nam,224-414-0698,
Bui Quang,Thanh,Amanda_Stephens@hcmut.edu.vn,1940047,Data engineer,GEOPET,Cau Giay Ha Noi Viet Nam,944-374-7742,
Bui Quang,Thien,John_Baker@hcmut.edu.vn,1940048,Data engineer,FME,Cau Giay Ha Noi Viet Nam,943-647-1009,
Le Huu,Hao,Laura_Avila@hcmut.edu.vn,1940049,UI-UX,FCE,Cau Giay Ha Noi Viet Nam,480-238-0757,
Vo Ngoc,Duy,Carmen_Fowler@hcmut.edu.vn,1940050,Data engineer,CSE,Cau Giay Ha Noi Viet Nam,385-367-9630,
Trinh Van,Hai,Sheri_Forbes@hcmut.edu.vn,1940051,Data engineer,SIM,Cau Giay Ha Noi Viet Nam,748-872-3911,
Nguyen Van,Tham,Ryan_Blake@hcmut.edu.vn,1940052,Web development,FTE,Cau Giay Ha Noi Viet Nam,346-748-9565,
Trinh Van,Hai,Ryan_Howard@hcmut.edu.vn,1940053,Embedded c++,GEOPET,Cau Giay Ha Noi Viet Nam,952-737-0538,
Vo Ngoc,Hai,Samuel_Collins@hcmut.edu.vn,1940054,Data engineer,CSE,Cau Giay Ha Noi Viet Nam,444-041-9784,
Dao Van,Hai,Shawn_Cox@hcmut.edu.vn,1940055,Web development,FME,Cau Giay Ha Noi Viet Nam,876-035-5044,
Bui Quang,Son,John_Johnson@hcmut.edu.vn,1940056,Embedded c++,FCE,Cau Giay Ha Noi Viet Nam,249-038-9043,
Vo Que,Son,Paul_Lopez@hcmut.edu.vn,1940057,System engineer,CSE,Cau Giay Ha Noi Viet Nam,724-276-8746,
Nguyen Van,Thien,Tara_Sharp@hcmut.edu.vn,1940058,Data engineer,FCE,Cau Giay Ha Noi Viet Nam,617-021-7762,
Trinh Van,Thien,Christopher_Nichols@hcmut.edu.vn,1940059,UI-UX,FCE,Cau Giay Ha Noi Viet Nam,514-054-5717,
Vo Ngoc,Son,Anna_Cooper@hcmut.edu.vn,1940060,System engineer,CSE,Cau Giay Ha Noi Viet Nam,837-817-7596,
Dao Dinh,Huy,David_Delgado@hcmut.edu.vn,1940061,Game development,GEOPET,Cau Giay Ha Noi Viet Nam,297-520-3290,
Dao Dinh,Linh,Toni_Sanchez@hcmut.edu.vn,1940062,Game development,FME,Cau Giay Ha Noi Viet Nam,451-127-3915,
Bui Quang,Thang,Michael_Thomas@hcmut.edu.vn,1940063,Data engineer,FTE,Cau Giay Ha Noi Viet Nam,178-364-0961,
Vo Que,Hao,Kenneth_Moran@hcmut.edu.vn,1940064,Game development,CSE,Cau Giay Ha Noi Viet Nam,619-147-0006,
Vo Ngoc,Hai,Lori_Shields@hcmut.edu.vn,1940065,Web development,D-DT,Cau Giay Ha Noi Viet Nam,826-188-0954,
Tran Van,Tham,Monica_Hayes@hcmut.edu.vn,1940066,Embedded c++,D-DT,Cau Giay Ha Noi Viet Nam,500-780-9704,
Trinh Van,Son,Christina_Jones@hcmut.edu.vn,1940067,Data engineer,CHE,Cau Giay Ha Noi Viet Nam,303-887-2055,
Dao Van,Tham,Bradley_Chavez@hcmut.edu.vn,1940068,Data engineer,D-DT,Cau Giay Ha Noi Viet Nam,142-063-3663,
Vo Ngoc,Thanh,Donald_Miller@hcmut.edu.vn,1940069,Game development,GEOPET,Cau Giay Ha Noi Viet Nam,288-878-8300,
Dao Van,Hai,Paul_Chavez@hcmut.edu.vn,1940070,Data engineer,GEOPET,Cau Giay Ha Noi Viet Nam,522-422-6678,
Tran Van,Tham,Krystal_Clark@hcmut.edu.vn,1940071,UI-UX,FTE,Cau Giay Ha Noi Viet Nam,471-368-7058,
Vu Van,Hao,Brittany_Thomas@hcmut.edu.vn,1940072,Web development,FME,Cau Giay Ha Noi Viet Nam,227-428-6154,
Le Huu,Ngoc,Morgan_Martin@hcmut.edu.vn,1940073,System engineer,FME,Cau Giay Ha Noi Viet Nam,812-183-2201,
Tran Van,Thien,Stephanie_Patterson@hcmut.edu.vn,1940074,Embedded c++,GEOPET,Cau Giay Ha Noi Viet Nam,321-855-0388,
Dao Dinh,Thang,Phillip_Kelly@hcmut.edu.vn,1940075,Web development,FTE,Cau Giay Ha Noi Viet Nam,676-676-9823,
Tran Van,Ngoc,Michael_Martinez@hcmut.edu.vn,1940076,Data engineer,FTE,Cau Giay Ha Noi Viet Nam,635-813-1993,
Duong,Hai,Shirley_Moon@hcmut.edu.vn,1940077,System engineer,D-DT,Cau Giay Ha Noi Viet Nam,227-600-4353,
Nguyen Duc,Hau,Jacob_Winters@hcmut.edu.vn,1940078,Web development,FME,Cau Giay Ha Noi Viet Nam,585-213-2608,
Bui Quang,Thien,Christopher_Stewart@hcmut.edu.vn,1940079,Embedded c++,CHE,Cau Giay Ha Noi Viet Nam,951-421-1624,
Le Huu,Hai,Hannah_Reid@hcmut.edu.vn,1940080,System engineer,CHE,Cau Giay Ha Noi Viet Nam,703-478-8517,
Dao Van,Tham,Felicia_Stanley@hcmut.edu.vn,1940081,Embedded c++,SIM,Cau Giay Ha Noi Viet Nam,144-304-8679,
Nguyen Duc,Thanh,Brent_Jimenez@hcmut.edu.vn,1940082,UI-UX,CSE,Cau Giay Ha Noi Viet Nam,283-582-1018,
Bui Quang,Thang,Michael_Jones@hcmut.edu.vn,1940083,Embedded c++,CSE,Cau Giay Ha Noi Viet Nam,756-466-0344,
Nguyen Van,Son,Brandon_Murphy@hcmut.edu.vn,1940084,Data engineer,D-DT,Cau Giay Ha Noi Viet Nam,455-032-4644,
Bui Quang,Son,Melissa_Chapman@hcmut.edu.vn,1940085,Game development,D-DT,Cau Giay Ha Noi Viet Nam,363-105-0920,
Bui Quang,Thang,Anthony_Davidson@hcmut.edu.vn,1940086,Game development,CSE,Cau Giay Ha Noi Viet Nam,832-354-4452,
Dao Dinh,Hai,Alison_Alexander@hcmut.edu.vn,1940087,Web development,GEOPET,Cau Giay Ha Noi Viet Nam,104-086-3339,
Dao Van,Thanh,Heather_Powell@hcmut.edu.vn,1940088,Embedded c++,FTE,Cau Giay Ha Noi Viet Nam,377-573-6998,
Dao Van,Thang,Edward_Brown@hcmut.edu.vn,1940089,Game development,GEOPET,Cau Giay Ha Noi Viet Nam,649-646-6471,
Tran Van,Tham,Seth_Taylor@hcmut.edu.vn,1940090,Data engineer,GEOPET,Cau Giay Ha Noi Viet Nam,652-674-7968,
Tran Van,Quy,Sonya_Green@hcmut.edu.vn,1940091,UI-UX,FTE,Cau Giay Ha Noi Viet Nam,488-880-9990,
Duong,Thien,Dr._David_Thomas_MD@hcmut.edu.vn,1940092,System engineer,FTE,Cau Giay Ha Noi Viet Nam,266-305-9670,
Tran Van,Hao,Kimberly_Walsh@hcmut.edu.vn,1940093,Web development,FME,Cau Giay Ha Noi Viet Nam,224-358-4523,
Vo Ngoc,Thanh,Garrett_Taylor@hcmut.edu.vn,1940094,System engineer,D-DT,Cau Giay Ha Noi Viet Nam,610-724-0130,
Vo Que,Duy,Aaron_Ellison@hcmut.edu.vn,1940095,System engineer,FTE,Cau Giay Ha Noi Viet Nam,805-128-0926,
Bui Quang,Tham,Ariel_Hughes@hcmut.edu.vn,1940096,Web development,FTE,Cau Giay Ha Noi Viet Nam,565-538-7332,
Nguyen Duc,Quy,Lauren_Stein@hcmut.edu.vn,1940097,Embedded c++,FME,Cau Giay Ha Noi Viet Nam,868-056-2778,
Bui Quang,Hau,John_Smith@hcmut.edu.vn,1940098,System engineer,D-DT,Cau Giay Ha Noi Viet Nam,971-170-5018,
Bui Quang,Tham,Cynthia_Mcconnell@hcmut.edu.vn,1940099,System engineer,FTE,Cau Giay Ha Noi Viet Nam,777-008-1483,
Vo Que,Hau,Michael_Williamson@hcmut.edu.vn,1940100,Game development,D-DT,Cau Giay Ha Noi Viet Nam,645-143-3097,
Bui Quang,Hai,Michelle_Banks@hcmut.edu.vn,1940101,System engineer,SIM,Cau Giay Ha Noi Viet Nam,895-478-4934,
Dao Dinh,Ngoc,John_Gomez@hcmut.edu.vn,1940102,Embedded c++,FME,Cau Giay Ha Noi Viet Nam,362-234-7835,
Bui Quang,Tham,Brian_Green@hcmut.edu.vn,1940103,Game development,CSE,Cau Giay Ha Noi Viet Nam,907-422-5189,
Le Huu,Thien,Brenda_Crosby@hcmut.edu.vn,1940104,Embedded c++,CHE,Cau Giay Ha Noi Viet Nam,941-445-7546,
Le Huu,Son,Kevin_Patterson@hcmut.edu.vn,1940105,Game development,FME,Cau Giay Ha Noi Viet Nam,523-003-3040,
Nguyen Van,Thanh,Kimberly_Reynolds@hcmut.edu.vn,1940106,Game development,FME,Cau Giay Ha Noi Viet Nam,135-173-1976,
Dao Van,Hao,Rebecca_Lawrence@hcmut.edu.vn,1940107,UI-UX,GEOPET,Cau Giay Ha Noi Viet Nam,683-404-4687,
Tran Van,Hau,Sarah_Bernard@hcmut.edu.vn,1940108,Game development,CHE,Cau Giay Ha Noi Viet Nam,573-666-1068,
Trinh Van,Thanh,Melvin_Scott@hcmut.edu.vn,1940109,Data engineer,CHE,Cau Giay Ha Noi Viet Nam,213-754-1550,
Le Huu,Son,Megan_Griffith@hcmut.edu.vn,1940110,Web development,GEOPET,Cau Giay Ha Noi Viet Nam,439-157-6144,
Nguyen Duc,Ngoc,Patrick_Fox@hcmut.edu.vn,1940111,Game development,CHE,Cau Giay Ha Noi Viet Nam,935-508-6394,
Bui Quang,Hau,Tonya_Dawson@hcmut.edu.vn,1940112,Data engineer,CSE,Cau Giay Ha Noi Viet Nam,632-517-0836,
Bui Quang,Hau,Alexis_Mullins@hcmut.edu.vn,1940113,UI-UX,FTE,Cau Giay Ha Noi Viet Nam,568-118-1170,
Tran Van,Hau,Donald_Nelson@hcmut.edu.vn,1940114,System engineer,GEOPET,Cau Giay Ha Noi Viet Nam,395-121-4388,
Trinh Van,Hau,Bradley_Baker@hcmut.edu.vn,1940115,Web development,FTE,Cau Giay Ha Noi Viet Nam,124-153-1685,
Bui Quang,Son,Kelly_Lyons@hcmut.edu.vn,1940116,Web development,FCE,Cau Giay Ha Noi Viet Nam,827-742-4097,
Vu Van,Huy,Natalie_Johnson@hcmut.edu.vn,1940117,Web development,FME,Cau Giay Ha Noi Viet Nam,541-850-6943,
Vo Ngoc,Huy,Marc_Johnson@hcmut.edu.vn,1940118,System engineer,D-DT,Cau Giay Ha Noi Viet Nam,940-070-1328,
Trinh Van,Hao,Alyssa_Smith@hcmut.edu.vn,1940119,Web development,FME,Cau Giay Ha Noi Viet Nam,948-471-2186,
Vo Ngoc,Duy,Michael_Calderon@hcmut.edu.vn,1940120,System engineer,CHE,Cau Giay Ha Noi Viet Nam,878-081-9165,
Tran Van,Quy,Susan_Howard@hcmut.edu.vn,1940121,System engineer,SIM,Cau Giay Ha Noi Viet Nam,847-087-7512,
Duong,Thang,Francisco_Alexander@hcmut.edu.vn,1940122,Data engineer,FME,Cau Giay Ha Noi Viet Nam,258-745-4476,
Duong,Duy,Derrick_Oliver@hcmut.edu.vn,1940123,Web development,FCE,Cau Giay Ha Noi Viet Nam,770-804-6936,
Le Huu,Son,Benjamin_Bowman@hcmut.edu.vn,1940124,Game development,CHE,Cau Giay Ha Noi Viet Nam,557-500-6002,
Duong,Linh,Matthew_Moore@hcmut.edu.vn,1940125,Web development,FTE,Cau Giay Ha Noi Viet Nam,383-500-7540,
Le Huu,Linh,Jessica_Morgan@hcmut.edu.vn,1940126,Embedded c++,GEOPET,Cau Giay Ha Noi Viet Nam,708-613-9183,
Tran Van,Duy,Stanley_Barber@hcmut.edu.vn,1940127,UI-UX,CHE,Cau Giay Ha Noi Viet Nam,547-288-1066,
Dao Dinh,Hao,Alexander_Cortez@hcmut.edu.vn,1940128,UI-UX,GEOPET,Cau Giay Ha Noi Viet Nam,916-782-7111,
Duong,Thang,Nathan_Cook@hcmut.edu.vn,1940129,Game development,GEOPET,Cau Giay Ha Noi Viet Nam,187-062-4307,
Vo Ngoc,Duy,Glenda_Henry_MD@hcmut.edu.vn,1940130,Game development,FME,Cau Giay Ha Noi Viet Nam,896-262-0431,
Tran Van,Hau,Cheyenne_Schroeder@hcmut.edu.vn,1940131,UI-UX,CSE,Cau Giay Ha Noi Viet Nam,430-858-7998,
Tran Van,Hao,Alexandra_Le@hcmut.edu.vn,1940132,Web development,SIM,Cau Giay Ha Noi Viet Nam,984-315-9781,
Bui Quang,Thien,Brian_Cruz@hcmut.edu.vn,1940133,Embedded c++,FME,Cau Giay Ha Noi Viet Nam,977-034-9762,
Vo Ngoc,Linh,Jerome_Sellers@hcmut.edu.vn,1940134,Web development,CSE,Cau Giay Ha Noi Viet Nam,273-673-6762,
Duong,Hao,Ashley_Gordon@hcmut.edu.vn,1940135,Web development,SIM,Cau Giay Ha Noi Viet Nam,593-272-9559,
Nguyen Duc,Thien,Christian_Vargas@hcmut.edu.vn,1940136,Data engineer,FCE,Cau Giay Ha Noi Viet Nam,461-824-7271,
Duong,Thien,Charles_Jordan@hcmut.edu.vn,1940137,UI-UX,D-DT,Cau Giay Ha Noi Viet Nam,628-175-6475,
Bui Quang,Linh,Nicholas_Williams@hcmut.edu.vn,1940138,Web development,CHE,Cau Giay Ha Noi Viet Nam,140-877-8848,
Vu Van,Linh,Michael_Moore@hcmut.edu.vn,1940139,Game development,SIM,Cau Giay Ha Noi Viet Nam,586-318-9980,
Bui Quang,Thanh,Allison_Green@hcmut.edu.vn,1940140,Web development,CSE,Cau Giay Ha Noi Viet Nam,683-482-2292,
Duong,Duy,Christopher_Medina@hcmut.edu.vn,1940141,Web development,FCE,Cau Giay Ha Noi Viet Nam,112-276-0791,
Vo Ngoc,Thien,Dawn_Jones@hcmut.edu.vn,1940142,System engineer,FCE,Cau Giay Ha Noi Viet Nam,978-527-7799,
Le Huu,Hau,Jared_Marks@hcmut.edu.vn,1940143,Data engineer,CHE,Cau Giay Ha Noi Viet Nam,731-471-3159,
Bui Quang,Thanh,Elizabeth_Baird@hcmut.edu.vn,1940144,Game development,CSE,Cau Giay Ha Noi Viet Nam,600-254-5896,
Nguyen Duc,Linh,Jessica_Webb@hcmut.edu.vn,1940145,Web development,D-DT,Cau Giay Ha Noi Viet Nam,339-316-6248,
Bui Quang,Linh,Juan_Nunez@hcmut.edu.vn,1940146,Data engineer,GEOPET,Cau Giay Ha Noi Viet Nam,545-280-0578,
Nguyen Duc,Ngoc,Renee_Williams@hcmut.edu.vn,1940147,UI-UX,D-DT,Cau Giay Ha Noi Viet Nam,291-873-3698,
Vo Ngoc,Hao,Elizabeth_Thompson@hcmut.edu.vn,1940148,Embedded c++,SIM,Cau Giay Ha Noi Viet Nam,241-227-2052,
Le Huu,Quy,Angela_Henson@hcmut.edu.vn,1940149,Embedded c++,FCE,Cau Giay Ha Noi Viet Nam,422-044-2844,
Trinh Van,Thanh,Michael_White@hcmut.edu.vn,1940150,Data engineer,CSE,Cau Giay Ha Noi Viet Nam,210-836-5962,
Le Huu,Son,Michelle_Moore@hcmut.edu.vn,1940151,Embedded c++,D-DT,Cau Giay Ha Noi Viet Nam,550-632-1443,
Le Huu,Quy,Eric_Hill@hcmut.edu.vn,1940152,System engineer,CSE,Cau Giay Ha Noi Viet Nam,418-018-8919,
Tran Van,Son,Kim_Clark@hcmut.edu.vn,1940153,Embedded c++,GEOPET,Cau Giay Ha Noi Viet Nam,277-147-5071,
Tran Van,Thanh,John_Bowen@hcmut.edu.vn,1940154,Game development,FTE,Cau Giay Ha Noi Viet Nam,798-783-8393,
Trinh Van,Hai,Daniel_Ayala@hcmut.edu.vn,1940155,UI-UX,FME,Cau Giay Ha Noi Viet Nam,322-782-6804,
Dao Van,Ngoc,Kendra_Kaiser@hcmut.edu.vn,1940156,System engineer,CSE,Cau Giay Ha Noi Viet Nam,520-144-8285,
Nguyen Duc,Son,Heather_Boyle@hcmut.edu.vn,1940157,Embedded c++,FTE,Cau Giay Ha Noi Viet Nam,308-142-1487,
Vo Que,Quy,Karen_Rush@hcmut.edu.vn,1940158,Game development,FCE,Cau Giay Ha Noi Viet Nam,434-754-4090,
Tran Van,Quy,Dustin_Chen@hcmut.edu.vn,1940159,Embedded c++,SIM,Cau Giay Ha Noi Viet Nam,735-787-2589,
Vu Van,Huy,Jacob_Adams@hcmut.edu.vn,1940160,System engineer,FCE,Cau Giay Ha Noi Viet Nam,215-841-7133,
Bui Quang,Duy,Shannon_Arellano@hcmut.edu.vn,1940161,Game development,GEOPET,Cau Giay Ha Noi Viet Nam,921-440-5268,
Vo Que,Huy,Gordon_Jennings@hcmut.edu.vn,1940162,Data engineer,FME,Cau Giay Ha Noi Viet Nam,613-562-2099,
Trinh Van,Hau,Michael_Peterson@hcmut.edu.vn,1940163,System engineer,SIM,Cau Giay Ha Noi Viet Nam,194-163-7932,
Nguyen Van,Hai,Meagan_Russell@hcmut.edu.vn,1940164,Game development,CHE,Cau Giay Ha Noi Viet Nam,327-348-3610,
Duong,Thang,Ruth_Graham@hcmut.edu.vn,1940165,Embedded c++,FTE,Cau Giay Ha Noi Viet Nam,246-785-6002,
Bui Quang,Hau,Christopher_Carter@hcmut.edu.vn,1940166,Data engineer,FME,Cau Giay Ha Noi Viet Nam,918-648-7885,
Vo Ngoc,Hao,Jeffrey_Johnson@hcmut.edu.vn,1940167,Web development,FTE,Cau Giay Ha Noi Viet Nam,929-212-0618,
Bui Quang,Duy,Stephen_Herrera@hcmut.edu.vn,1940168,Web development,CSE,Cau Giay Ha Noi Viet Nam,456-488-1817,
Nguyen Duc,Hau,Alexander_Vincent@hcmut.edu.vn,1940169,Embedded c++,SIM,Cau Giay Ha Noi Viet Nam,853-656-8684,
Trinh Van,Hau,Elizabeth_Lee@hcmut.edu.vn,1940170,System engineer,CHE,Cau Giay Ha Noi Viet Nam,444-402-8832,
Duong,Thanh,Bianca_Rodriguez@hcmut.edu.vn,1940171,Data engineer,FME,Cau Giay Ha Noi Viet Nam,233-204-5273,
Bui Quang,Linh,Randall_Jennings@hcmut.edu.vn,1940172,Web development,SIM,Cau Giay Ha Noi Viet Nam,333-882-8722,
Dao Van,Duy,Cameron_Hobbs_MD@hcmut.edu.vn,1940173,System engineer,GEOPET,Cau Giay Ha Noi Viet Nam,910-215-8081,
Le Van,Hau,Adrienne_Eaton@hcmut.edu.vn,1940174,Web development,D-DT,Cau Giay Ha Noi Viet Nam,891-384-1627,
Nguyen Duc,Thang,Shannon_Scott@hcmut.edu.vn,1940175,Data engineer,CHE,Cau Giay Ha Noi Viet Nam,421-753-8069,
Duong,Ngoc,Joseph_Thomas@hcmut.edu.vn,1940176,System engineer,FCE,Cau Giay Ha Noi Viet Nam,114-073-9501,
Bui Quang,Son,Denise_Cooper@hcmut.edu.vn,1940177,System engineer,CHE,Cau Giay Ha Noi Viet Nam,767-013-6070,
Trinh Van,Duy,Sara_Leonard@hcmut.edu.vn,1940178,UI-UX,D-DT,Cau Giay Ha Noi Viet Nam,576-628-2714,
Tran Van,Thanh,Seth_Watkins@hcmut.edu.vn,1940179,Data engineer,FME,Cau Giay Ha Noi Viet Nam,232-308-8586,
Bui Quang,Quy,Sandra_Cobb@hcmut.edu.vn,1940180,Game development,FME,Cau Giay Ha Noi Viet Nam,348-450-5138,
Bui Quang,Thang,James_Huang@hcmut.edu.vn,1940181,Web development,D-DT,Cau Giay Ha Noi Viet Nam,378-137-6939,
Vo Que,Duy,Joseph_Ingram@hcmut.edu.vn,1940182,Web development,CHE,Cau Giay Ha Noi Viet Nam,934-385-6092,
Trinh Van,Hau,Philip_Holland@hcmut.edu.vn,1940183,Data engineer,GEOPET,Cau Giay Ha Noi Viet Nam,137-115-9627,
Le Huu,Thanh,Beverly_Harding@hcmut.edu.vn,1940184,Embedded c++,FME,Cau Giay Ha Noi Viet Nam,211-423-5180,
Dao Van,Duy,Marc_Hunter@hcmut.edu.vn,1940185,Game development,FCE,Cau Giay Ha Noi Viet Nam,493-461-2529,
Dao Dinh,Duy,Haley_Johnson@hcmut.edu.vn,1940186,Web development,CSE,Cau Giay Ha Noi Viet Nam,753-481-8064,
Duong,Son,Stephen_Leon@hcmut.edu.vn,1940187,UI-UX,FME,Cau Giay Ha Noi Viet Nam,645-418-9264,
Bui Quang,Thanh,Heidi_Mills@hcmut.edu.vn,1940188,Game development,CSE,Cau Giay Ha Noi Viet Nam,290-012-8541,
Bui Quang,Quy,Sarah_Jackson@hcmut.edu.vn,1940189,System engineer,GEOPET,Cau Giay Ha Noi Viet Nam,411-667-7822,
Nguyen Van,Thien,Amy_Ramos@hcmut.edu.vn,1940190,Data engineer,SIM,Cau Giay Ha Noi Viet Nam,929-334-5481,
Le Huu,Son,Melissa_Johnson@hcmut.edu.vn,1940191,UI-UX,CSE,Cau Giay Ha Noi Viet Nam,661-265-4231,
Le Van,Quy,Sandra_Young@hcmut.edu.vn,1940192,Game development,D-DT,Cau Giay Ha Noi Viet Nam,314-546-9611,
Nguyen Duc,Son,Todd_Thompson@hcmut.edu.vn,1940193,Web development,CHE,Cau Giay Ha Noi Viet Nam,359-182-9435,
